Country,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,Change previous month,Change last 12 months
Australia,,,4.1,4.1,4.1,3.9,4.0,4.1,4.1,4.1,4.1,4.1,4.3,4.2,4.2,-0.0,0.1
Austria,,5.1,5.3,5.6,5.6,5.1,5.4,5.5,5.3,5.6,5.6,5.5,5.9,5.5,,-0.4,0.4
Belgium,,5.6,5.7,5.8,5.8,5.9,6.0,6.1,6.2,6.2,6.1,6.0,6.0,5.8,,-0.2,0.2
Canada,,,6.7,6.6,6.6,6.9,6.7,6.6,6.6,6.7,6.9,7.0,6.9,6.9,7.1,0.2,0.4
Chile,8.3,8.6,8.5,8.5,8.5,8.6,8.4,8.6,8.6,8.8,8.7,8.7,8.4,,,-0.3,0.0
Colombia,,9.8,10.0,9.7,10.0,9.4,9.8,9.6,9.4,9.5,8.6,8.8,8.7,8.8,,0.1,-1.1
Costa Rica,7.8,6.7,6.6,7.0,7.2,6.9,7.0,7.4,7.5,7.3,6.9,7.4,6.7,,,-0.7,-1.1
Czechia,,2.6,2.5,3.0,2.6,2.6,2.8,2.5,2.6,2.7,2.7,2.8,3.0,2.8,,-0.2,0.2
Germany,,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.6,3.6,3.7,3.7,3.7,3.7,,0.0,0.3
Denmark,,5.9,6.1,6.7,5.9,6.8,7.0,6.7,5.6,6.9,6.9,5.3,6.7,6.6,,-0.1,0.7
Spain,,11.5,11.3,11.1,10.9,10.8,10.8,10.8,10.8,10.8,10.7,10.6,10.4,10.4,,0.0,-1.1
Estonia,,8.0,7.7,8.1,7.6,7.5,7.8,7.6,8.2,7.9,7.7,7.7,7.4,7.2,,-0.2,-0.8
Finland,,8.5,8.3,8.6,8.9,8.9,8.7,9.0,9.2,9.5,9.1,8.8,9.9,9.9,,0.0,1.4
France,,7.4,7.4,7.4,7.4,7.3,7.3,7.3,7.5,7.6,7.5,7.6,7.6,7.6,,0.0,0.2
United Kingdom,4.2,4.1,4.3,4.3,4.4,4.4,4.4,4.4,4.5,4.6,4.7,4.7,4.7,,,0.0,0.5
Greece,,9.8,9.4,9.6,9.7,9.6,9.3,9.8,9.3,9.5,8.9,8.5,9.0,8.0,,-1.0,-1.8
Hungary,,4.3,4.4,4.5,4.5,4.5,4.4,4.3,4.3,4.2,4.3,4.3,4.4,4.3,,-0.1,0.0
Ireland,,4.5,4.1,4.1,4.2,4.2,4.5,4.5,4.5,4.5,4.6,4.6,4.6,4.9,,0.3,0.4
Iceland,,3.2,3.3,3.3,3.4,3.5,3.6,3.7,3.7,3.7,3.6,3.6,3.6,3.6,,0.0,0.4
Israel,,,2.7,2.8,2.7,2.8,2.7,2.7,2.8,2.9,2.9,3.1,2.7,3.1,2.9,-0.1,0.3
Italy,,6.4,6.2,6.2,6.1,6.1,6.4,6.4,6.1,6.3,6.1,6.5,6.2,6.0,,-0.2,-0.4
Japan,,2.6,2.5,2.4,2.5,2.5,2.5,2.5,2.4,2.5,2.5,2.5,2.5,2.3,,-0.2,-0.3
Korea,,,2.5,2.5,2.7,2.7,3.7,2.9,2.7,2.9,2.7,2.7,2.6,2.5,2.6,0.1,0.1
Lithuania,,7.5,7.5,7.2,6.9,6.5,6.4,6.5,6.4,6.3,7.0,7.1,7.1,7.1,,0.0,-0.4
Luxembourg,,6.4,6.5,6.5,6.6,6.7,6.6,6.6,6.7,6.6,6.6,6.7,6.6,6.6,,0.0,0.2
Latvia,,6.8,6.9,6.8,7.0,7.0,7.0,7.1,7.2,7.0,6.8,6.7,6.6,6.6,,0.0,-0.2
Mexico,,2.7,2.8,2.7,2.5,2.7,2.6,2.6,2.6,2.6,2.6,2.8,2.7,2.6,,-0.1,-0.1
Netherlands,,3.6,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.9,3.8,3.8,3.8,3.8,,0.0,0.2
Norway,,3.9,4.0,4.0,4.1,3.7,4.2,3.8,4.1,4.5,4.4,4.6,5.5,4.5,,-1.0,0.6
Poland,,3.0,3.0,3.0,2.8,2.8,2.8,3.0,3.1,3.1,3.1,3.0,3.1,3.1,,0.0,0.1
Portugal,,6.5,6.4,6.5,6.6,6.6,6.4,6.3,6.3,6.3,6.2,6.2,6.1,5.8,,-0.3,-0.7
Slovakia,,5.3,5.3,5.2,5.2,5.2,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.4,,0.1,0.1
Slovenia,,4.1,4.2,4.2,3.9,3.7,3.6,3.8,3.8,3.8,3.6,3.3,3.1,2.9,,-0.2,-1.2
Sweden,,8.6,8.3,8.7,8.4,8.3,8.5,9.6,8.8,8.1,8.5,9.1,8.3,8.9,,0.6,0.3
Türkiye,,8.9,8.6,8.7,8.8,8.6,8.5,8.5,8.2,8.0,8.5,8.3,8.4,8.0,,-0.4,-0.9
United States,,,4.2,4.1,4.1,4.2,4.1,4.0,4.1,4.2,4.2,4.2,4.1,4.2,4.3,0.1,0.1
